Rank,Lat,Lon,Consensus_votes,Q,C,S,Psi,Delta_C,Delta_S,b_value,Cv,n90,n365,Max_mag_1yr,Nearest_city,City_dist_km,Region,Assessment_date,Selected_by
1,37.0,141.0,5,0.9528,0.0694,0.3692,0.0905,-0.0694,0.3692,0.919,1.02,170,761,6.2,Ibaraki,89.7,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F3:|dC|+|dS| | F5:MEGA | F6:n90+1/b
2,36.0,140.0,5,0.9526,0.0,0.0472,0.0,0.208,0.0472,0.829,1.072,115,420,6.2,Tokyo,45.2,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F4:1/b | F5:MEGA | F6:n90+1/b
3,35.0,141.0,5,0.9874,0.0,0.0,0.0,0.3543,0.0,0.845,1.137,103,409,6.2,Tokyo,140.8,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F4:1/b | F5:MEGA | F6:n90+1/b
4,32.0,143.0,5,0.9026,0.0,0.0,0.0,0.0,-0.1902,0.711,1.809,102,260,6.1,Tokyo,510.7,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F4:1/b | F5:MEGA | F6:n90+1/b
5,35.0,140.0,5,0.9886,0.0,0.0,0.0,0.3417,0.0,0.834,1.46,101,526,6.2,Tokyo,80.7,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F4:1/b | F5:MEGA | F6:n90+1/b
6,33.0,141.0,5,0.9795,0.0,0.0,0.0,0.0371,-0.1945,0.899,1.592,88,481,5.9,Suruga,305.4,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F4:1/b | F5:MEGA | F6:n90+1/b
7,41.0,143.0,5,0.9453,0.0,0.0,0.0,0.0,0.0,0.725,1.183,87,334,6.2,Hokkaido,166.8,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F4:1/b | F5:MEGA | F6:n90+1/b
8,37.0,140.0,4,0.9768,0.3116,0.0,0.3044,-0.3085,-0.1087,0.913,1.025,137,638,6.2,Ibaraki,89.7,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F5:MEGA | F6:n90+1/b
9,38.0,141.0,4,0.9819,0.2492,0.0,0.2447,-0.2492,0.0,0.963,0.988,142,668,5.6,Sendai,32.1,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F5:MEGA | F6:n90+1/b
10,38.0,142.0,4,0.9817,0.2134,0.0,0.2095,-0.2134,0.0,0.981,1.012,132,693,5.6,Fukushima,49.2,Japan,2023-12-31,F1:Psi+n90 | F2:n90+Cv | F5:MEGA | F6:n90+1/b
