Rank,Lat,Lon,Votes,Q,C,S,Psi,Delta_C,Delta_S,b_value,Cv,n90,n365,Max_mag,City,City_km,Selected_by
1,38.5,39.0,6,0.946,0.000,0.000,0.000,+0.000,-0.139,0.869,1.335,17,40,5.6,Elazig,27,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
2,36.5,27.5,6,0.989,0.034,0.000,0.033,-0.034,+0.000,1.000,1.008,1,8,3.5,Mugla,110,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
3,37.0,28.0,6,0.998,0.000,0.602,0.000,+0.000,+0.232,1.000,1.404,2,8,5.8,Mugla,40,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
4,37.5,29.0,6,0.976,0.000,0.000,0.000,+0.000,+0.000,1.000,1.000,2,4,3.6,Denizli,31,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
5,37.0,28.5,6,0.933,0.000,0.296,0.000,+0.000,+0.008,1.000,1.168,1,14,5.8,Mugla,26,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
6,37.0,29.5,6,0.992,0.000,0.000,0.000,+0.000,+0.000,1.000,1.000,1,6,3.5,Denizli,93,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
7,37.5,29.5,6,0.957,0.000,0.000,0.000,+0.000,+0.000,1.000,1.000,1,1,3.2,Denizli,47,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
8,38.0,28.5,5,0.901,0.000,0.000,0.000,+0.014,+0.000,1.078,2.537,31,36,5.1,Denizli,58,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F5: MEGA | F6: n90+1/b
9,38.5,29.0,5,0.935,0.000,0.000,0.000,+0.000,-0.136,1.053,3.491,30,32,5.1,Denizli,82,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F5: MEGA | F6: n90+1/b
10,39.0,26.0,5,0.942,0.029,0.000,0.027,-0.029,-0.396,1.000,1.179,5,10,3.4,Izmir,118,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F5: MEGA | F6: n90+1/b
11,39.0,40.5,5,0.984,0.000,0.000,0.000,+0.000,+0.000,0.852,1.436,3,20,4.4,Bingol,13,F1: Psi+n90 | F2: n90+Cv | F4: 1/b | F5: MEGA | F6: n90+1/b
12,38.5,26.0,5,0.929,0.000,0.255,0.000,+0.000,-0.033,1.000,1.000,2,6,3.4,Izmir,100,F1: Psi+n90 | F2: n90+Cv | F3: |dC|+|dS| | F5: MEGA | F6: n90+1/b
13,37.5,43.0,5,0.903,0.000,0.000,0.000,+0.000,+0.000,1.000,1.000,1,3,3.2,Van,115,F2: n90+Cv | F3: |dC|+|dS| | F4: 1/b | F5: MEGA | F6: n90+1/b
